" ","score","status","future","trend","pressures","resilience"
"Index",59,,60.21,,,
"Food Provision",0,0,0,0,,70
". Fisheries",0,0,0,0,36.57,70
". Mariculture",0.01,0.01,0.01,0,33.74,70
"Artisanal Fishing Opportunity",74.14,69.94,78.35,0.01,35.51,70
"Natural Products",4.68,4.4,4.96,0.01,33.55,70
"Carbon Storage",100,100,100,,36.76,70
"Coastal Protection",24.09,23.01,25.18,0,41.05,70
"Tourism & Recreation",25.33,24.87,25.79,-0.01,56.03,70
"Coastal Livelihoods & Economies",100,100,100,0.78,,70
". Livelihoods",,,,0.56,37.09,70
". Economies",100,100,100,1,36.94,70
"Sense of Place",86.79,85,88.57,0,,70
". Iconic Species",73.57,70,77.14,0,39.08,70
". Lasting Special Places",100,100,100,0,44.28,70
"Clean Waters",81.09,78.38,83.8,0.1,68.93,70
"Biodiversity",93.91,92.33,95.49,-0.02,,70
". Habitats",99.9,99.81,100,0,35.22,70
". Species",87.92,84.86,90.98,-0.04,40.05,70
