" ","score","status","future","trend","pressures","resilience"
"Index",77.53,,77.08,,,
"Food Provision",7.59,6.97,8.21,0,,70
". Fisheries",8.71,8,9.42,0,16.06,70
". Mariculture",0.01,0.01,0.01,0,15.47,70
"Artisanal Fishing Opportunity",75.4,68.63,82.17,0,10.7,70
"Natural Products",96.17,92.34,100,0.31,10.14,70
"Carbon Storage",,,,,13.72,70
"Coastal Protection",100,100,100,0.08,32.13,70
"Tourism & Recreation",60.09,57.69,62.49,-0.04,35.82,70
"Coastal Livelihoods & Economies",75.71,100,51.42,-0.55,,70
". Livelihoods",,,,-0.11,14.08,70
". Economies",75.71,100,51.42,-1,14.18,70
"Sense of Place",100,100,100,0,,70
". Iconic Species",,,,,14.29,70
". Lasting Special Places",100,100,100,0,22.01,70
"Clean Waters",84.53,79.67,89.4,0.06,45.42,70
"Biodiversity",98.26,96.52,100,0.01,,70
". Habitats",100,100,100,0.01,11.35,70
". Species",96.52,93.03,100,0.02,18.55,70
