" ","score","status","future","trend","pressures","resilience"
"Index",76.42,,76.32,,,
"Food Provision",1.09,0.98,1.21,0,,
". Fisheries",1.12,1,1.24,0,15.74,88.2
". Mariculture",0.91,0.82,1,0,15.47,81.59
"Artisanal Fishing Opportunity",77.43,68.63,86.22,-0.01,10.28,89.05
"Natural Products",98.68,97.36,100,0.16,9.14,90.92
"Carbon Storage",,,,,12.41,92.15
"Coastal Protection",100,100,100,0.08,32.13,87.34
"Tourism & Recreation",62.34,57.69,66.99,-0.04,35.82,93.67
"Coastal Livelihoods & Economies",77.9,100,55.8,-0.55,,
". Livelihoods",,,,-0.11,14.04,67.05
". Economies",77.9,100,55.8,-1,14.15,83.24
"Sense of Place",100,100,100,0,,
". Iconic Species",,,,,13.28,89.44
". Lasting Special Places",100,100,100,0,20.75,91.4
"Clean Waters",72.13,67.58,76.68,-0.04,45.42,93.67
"Biodiversity",98.26,96.52,100,0.01,,
". Habitats",100,100,100,0.01,11.35,88.85
". Species",96.52,93.03,100,0.02,17.94,87.5
