" ","score","status","future","trend","pressures","resilience"
"Index",67.74,,70.77,,,
"Food Provision",3.21,2.94,3.48,0,,70
". Fisheries",3.27,3,3.55,0,14.75,70
". Mariculture",0.01,0.01,0.01,0,15.36,70
"Artisanal Fishing Opportunity",71.87,65.42,78.31,0.01,11.36,70
"Natural Products",46.55,40.84,52.26,0.13,11.04,70
"Carbon Storage",67.29,61.48,73.09,0,12.77,70
"Coastal Protection",27.15,25.24,29.05,0.03,30.14,70
"Tourism & Recreation",100,100,100,0.13,37.22,70
"Coastal Livelihoods & Economies",99.91,99.81,100,0.78,,70
". Livelihoods",99.81,99.63,100,0.56,14.52,70
". Economies",100,100,100,1,14.54,70
"Sense of Place",85.24,85,85.49,-0.12,,70
". Iconic Species",70.49,70,70.98,-0.25,15.02,70
". Lasting Special Places",100,100,100,0,22.52,70
"Clean Waters",81.77,77.54,86,0.06,48.96,70
"Biodiversity",94.44,88.88,100,0.01,,70
". Habitats",93.75,87.5,100,0.05,11.98,70
". Species",95.13,90.26,100,-0.03,17.89,70
