" ","score","status","future","trend","pressures","resilience"
"Index",68.54,,71.6,,,
"Food Provision",17.14,15.71,18.58,0,,70
". Fisheries",17.46,16,18.92,0,14.64,70
". Mariculture",0.13,0.12,0.14,0,15.36,70
"Artisanal Fishing Opportunity",71.93,65.42,78.44,0.01,11.22,70
"Natural Products",40.47,35.68,45.27,0.11,11.04,70
"Carbon Storage",67.33,61.48,73.17,0,12.37,70
"Coastal Protection",27.15,25.24,29.05,0.03,30.14,70
"Tourism & Recreation",100,100,100,0.13,37.22,70
"Coastal Livelihoods & Economies",99.91,99.81,100,0.78,,70
". Livelihoods",99.81,99.63,100,0.56,14.51,70
". Economies",100,100,100,1,14.53,70
"Sense of Place",85.26,85,85.53,-0.12,,70
". Iconic Species",70.53,70,71.05,-0.25,14.69,70
". Lasting Special Places",100,100,100,0,22.1,70
"Clean Waters",81.77,77.54,86,0.06,48.96,70
"Biodiversity",94.44,88.88,100,0.01,,70
". Habitats",93.75,87.5,100,0.05,11.85,70
". Species",95.13,90.26,100,-0.03,17.69,70
