" ","score","status","future","trend","pressures","resilience"
"Index",80.02,,81.62,,,
"Food Provision",45.71,40.96,50.46,-0.01,,
". Fisheries",52.45,47,57.9,-0.01,15.9,88.2
". Mariculture",0.06,0.05,0.06,0,15.47,81.59
"Artisanal Fishing Opportunity",77.5,68.63,86.36,0,10.49,89.05
"Natural Products",86.31,74.36,98.26,0.08,9.21,90.92
"Carbon Storage",,,,,13.08,92.15
"Coastal Protection",100,100,100,0.08,32.13,87.34
"Tourism & Recreation",62.34,57.69,66.99,-0.04,35.82,93.67
"Coastal Livelihoods & Economies",77.9,100,55.79,-0.55,,
". Livelihoods",,,,-0.11,14.06,67.05
". Economies",77.9,100,55.79,-1,14.17,83.24
"Sense of Place",100,100,100,0,,
". Iconic Species",,,,,13.8,89.44
". Lasting Special Places",100,100,100,0,21.39,91.4
"Clean Waters",72.13,67.58,76.68,-0.04,45.42,93.67
"Biodiversity",98.26,96.52,100,0.01,,
". Habitats",100,100,100,0.01,11.35,88.85
". Species",96.52,93.03,100,0.02,18.25,87.5
