" ","score","status","future","trend","pressures","resilience"
"Index",,,,,,
"Food Provision",,,,,,70
". Fisheries",,,,,,70
". Mariculture",,,,,,70
"Artisanal Fishing Opportunity",,,,,,70
"Natural Products",,,,,,70
"Carbon Storage",,,,,,70
"Coastal Protection",,,,,,70
"Tourism & Recreation",,,,,,70
"Coastal Livelihoods & Economies",,,,,,70
". Livelihoods",,,,,,70
". Economies",,,,,,70
"Sense of Place",,100,,0,,70
". Iconic Species",,,,,,70
". Lasting Special Places",,100,,0,,70
"Clean Waters",,,,,,70
"Biodiversity",,,,,,70
". Habitats",,,,,,70
". Species",,,,,,70
