" ","score","status","future","trend","pressures","resilience"
"Index",68.52,,69.64,,,
"Food Provision",6.56,6,7.13,0,,
". Fisheries",6.56,6,7.13,0,21.19,78.01
". Mariculture",0,0,0,0,21.93,70.6
"Artisanal Fishing Opportunity",77.39,70.2,84.58,0.01,19.15,78.97
"Natural Products",30.47,31.69,29.25,-0.43,17.17,81.4
"Carbon Storage",100,100,100,0.5,19.37,81.48
"Coastal Protection",27.06,25.1,29.01,0.02,38.38,81.48
"Tourism & Recreation",87.94,80.73,95.15,0.07,45.52,85.27
"Coastal Livelihoods & Economies",86.97,99.81,74.13,-0.55,,
". Livelihoods",99.81,99.63,100,-0.11,22.14,55.75
". Economies",74.13,100,48.27,-1,22.21,68.48
"Sense of Place",100,100,100,0,,
". Iconic Species",,,,,21.13,79.58
". Lasting Special Places",100,100,100,0,28.3,79.58
"Clean Waters",71.37,65.6,77.14,0.12,57.05,85.27
"Biodiversity",97.47,94.93,100,0.06,,
". Habitats",100,100,100,0.18,18.62,77.25
". Species",94.93,89.86,100,-0.05,24.25,75.13
