" ","score","status","future","trend","pressures","resilience"
"Index",77.13,,76.26,,,
"Food Provision",0.99,0.91,1.07,0,,70
". Fisheries",1.09,1,1.18,0,15.74,70
". Mariculture",0.34,0.31,0.37,0,15.47,70
"Artisanal Fishing Opportunity",75.27,68.63,81.91,-0.01,10.28,70
"Natural Products",99.35,98.7,100,0.33,10.12,70
"Carbon Storage",,,,,12.41,70
"Coastal Protection",100,100,100,0.08,32.13,70
"Tourism & Recreation",60.09,57.69,62.49,-0.04,35.82,70
"Coastal Livelihoods & Economies",75.72,100,51.43,-0.55,,70
". Livelihoods",,,,-0.11,14.04,70
". Economies",75.72,100,51.43,-1,14.15,70
"Sense of Place",100,100,100,0,,70
". Iconic Species",,,,,13.28,70
". Lasting Special Places",100,100,100,0,20.75,70
"Clean Waters",84.53,79.67,89.4,0.06,45.42,70
"Biodiversity",98.26,96.52,100,0.01,,70
". Habitats",100,100,100,0.01,11.35,70
". Species",96.52,93.03,100,0.02,17.94,70
