" ","score","status","future","trend","pressures","resilience"
"Index",70.08,,73,,,
"Food Provision",9.16,8.33,10,0,,
". Fisheries",26.4,24,28.81,0,21.59,82.28
". Mariculture",0.05,0.05,0.06,0,26.39,79.68
"Artisanal Fishing Opportunity",78.34,70.34,86.34,0.01,16.75,83.76
"Natural Products",94,88,100,0,14.42,85.33
"Carbon Storage",100,100,100,0.5,17.51,88.71
"Coastal Protection",36.04,32.18,39.91,0.06,27.26,88.71
"Tourism & Recreation",56,52.04,59.97,0.01,44.47,89.47
"Coastal Livelihoods & Economies",99.91,99.81,100,0.56,,
". Livelihoods",99.81,99.63,100,0.11,15.75,54.34
". Economies",100,100,100,1,18.44,78.83
"Sense of Place",68.6,70,67.2,-0.25,,
". Iconic Species",37.2,40,34.39,-0.5,24.32,83.35
". Lasting Special Places",100,100,100,0,30.99,88.34
"Clean Waters",67.19,64.28,70.09,-0.01,60.53,89.47
"Biodiversity",91.58,86.64,96.51,0.04,,
". Habitats",94.6,89.2,100,0.2,16.81,81.85
". Species",88.55,84.08,93.03,-0.12,25.63,82.22
