" ","score","status","future","trend","pressures","resilience"
"Index",76.53,,77.67,,,
"Food Provision",78,73,83,-0.02,,70
". Fisheries",78,73,83,-0.02,24.42,70
". Mariculture",100,100,100,0.22,33.5,70
"Artisanal Fishing Opportunity",82.22,74.88,89.56,0.07,23.87,70
"Natural Products",72.42,60.44,84.41,0.35,20.09,70
"Carbon Storage",,,,,29.09,70
"Coastal Protection",75.15,72.45,77.85,-0.04,40.23,70
"Tourism & Recreation",37.32,36.89,37.75,-0.05,51.78,70
"Coastal Livelihoods & Economies",73.4,100,46.79,-1,,70
". Livelihoods",,,,,24.22,70
". Economies",73.4,100,46.79,-1,28.2,70
"Sense of Place",100,100,100,0,,70
". Iconic Species",,,,,31.64,70
". Lasting Special Places",100,100,100,0,39.52,70
"Clean Waters",78.65,73.51,83.78,0.19,67.16,70
"Biodiversity",91.61,87.3,95.93,-0.07,,70
". Habitats",91.02,85.42,96.62,-0.04,22.95,70
". Species",92.21,89.19,95.23,-0.1,28.58,70
