" ","score","status","future","trend","pressures","resilience"
"Index",69.78,,72.03,,,
"Food Provision",0.04,0.04,0.05,0,,
". Fisheries",0,0,0,0,21.55,82.28
". Mariculture",0.07,0.06,0.07,0,26.39,79.68
"Artisanal Fishing Opportunity",78.45,70.34,86.56,0.01,16.71,83.76
"Natural Products",100,100,100,0,14.41,85.33
"Carbon Storage",100,100,100,0.5,17.36,88.71
"Coastal Protection",36.04,32.18,39.91,0.06,27.26,88.71
"Tourism & Recreation",56,52.04,59.97,0.01,44.47,89.47
"Coastal Livelihoods & Economies",99.91,99.81,100,0.56,,
". Livelihoods",99.81,99.63,100,0.11,15.75,54.34
". Economies",100,100,100,1,18.43,78.83
"Sense of Place",68.6,70,67.2,-0.25,,
". Iconic Species",37.2,40,34.41,-0.5,24.2,83.35
". Lasting Special Places",100,100,100,0,30.85,88.34
"Clean Waters",67.19,64.28,70.09,-0.01,60.53,89.47
"Biodiversity",91.58,86.64,96.52,0.04,,
". Habitats",94.6,89.2,100,0.2,16.78,81.85
". Species",88.56,84.08,93.04,-0.12,25.56,82.22
