" ","score","status","future","trend","pressures","resilience"
"Index",67.74,,70.76,,,
"Food Provision",3.21,2.95,3.48,0,,70
". Fisheries",3.27,3,3.55,0,14.65,70
". Mariculture",0.05,0.05,0.06,0,15.36,70
"Artisanal Fishing Opportunity",71.77,65.42,78.12,0,11.23,70
"Natural Products",46.55,40.84,52.26,0.13,11.04,70
"Carbon Storage",67.32,61.48,73.17,0,12.4,70
"Coastal Protection",27.15,25.24,29.05,0.03,30.14,70
"Tourism & Recreation",100,100,100,0.13,37.22,70
"Coastal Livelihoods & Economies",99.91,99.81,100,0.78,,70
". Livelihoods",99.81,99.63,100,0.56,14.51,70
". Economies",100,100,100,1,14.53,70
"Sense of Place",85.26,85,85.52,-0.12,,70
". Iconic Species",70.52,70,71.04,-0.25,14.72,70
". Lasting Special Places",100,100,100,0,22.13,70
"Clean Waters",81.77,77.54,86,0.06,48.96,70
"Biodiversity",94.44,88.88,100,0.01,,70
". Habitats",93.75,87.5,100,0.05,11.86,70
". Species",95.13,90.26,100,-0.03,17.7,70
