" ","score","status","future","trend","pressures","resilience"
"Index",72.26,,73,,,
"Food Provision",16.21,15,17.42,0,,70
". Fisheries",16.21,15,17.42,0,21.17,70
". Mariculture",0,0,0,0,21.93,70
"Artisanal Fishing Opportunity",76.35,70.2,82.51,0.01,19.12,70
"Natural Products",44.72,51.88,37.56,-0.67,17.61,70
"Carbon Storage",100,100,100,0.5,19.28,70
"Coastal Protection",26.58,25.1,28.06,0.02,38.38,70
"Tourism & Recreation",85.9,80.73,91.08,0.07,45.52,70
"Coastal Livelihoods & Economies",87.1,99.81,74.39,-0.55,,70
". Livelihoods",99.81,99.63,100,-0.11,22.14,70
". Economies",74.39,100,48.77,-1,22.2,70
"Sense of Place",100,100,100,0,,70
". Iconic Species",,,,,21.06,70
". Lasting Special Places",100,100,100,0,28.22,70
"Clean Waters",88.27,77.58,98.96,0.35,57.05,70
"Biodiversity",97.47,94.93,100,0.06,,70
". Habitats",100,100,100,0.18,18.61,70
". Species",94.93,89.86,100,-0.05,24.21,70
