" ","score","status","future","trend","pressures","resilience"
"Index",72.24,,75.68,,,
"Food Provision",30.43,28,32.86,0,,
". Fisheries",30.43,28,32.86,0,24.08,76.63
". Mariculture",100,100,100,0.35,34.31,68.5
"Artisanal Fishing Opportunity",76.22,69.7,82.73,0.01,23.44,77.57
"Natural Products",93,86,100,0.43,19.66,79.74
"Carbon Storage",69.16,63.55,74.78,0,26.82,80.37
"Coastal Protection",69.03,63.55,74.51,0,28.07,80.37
"Tourism & Recreation",44.2,42.62,45.77,-0.05,51.33,83.4
"Coastal Livelihoods & Economies",100,100,100,1,,
". Livelihoods",,,,,29.64,53.05
". Economies",100,100,100,1,29.29,65.26
"Sense of Place",100,100,100,0,,
". Iconic Species",,,,,30.35,78.04
". Lasting Special Places",100,100,100,0,37.45,78.85
"Clean Waters",58.3,57.29,59.31,-0.03,66.6,83.4
"Biodiversity",82.08,77.33,86.83,-0.05,,
". Habitats",70.35,64.79,75.9,0,25.36,76.61
". Species",93.81,89.87,97.76,-0.1,28.16,75.39
