" ","score","status","future","trend","pressures","resilience"
"Index",66.19,,66.42,,,
"Food Provision",14.04,13,15.08,0,,
". Fisheries",14.04,13,15.08,0,26.32,74.87
". Mariculture",100,100,100,0.21,28.79,67.91
"Artisanal Fishing Opportunity",76.42,69.83,83.02,0.03,25.51,76
"Natural Products",96.75,93.5,100,0.67,21.38,78.04
"Carbon Storage",54.44,50,58.89,0,25.4,79.26
"Coastal Protection",26.66,25.01,28.31,0.02,42.43,79.26
"Tourism & Recreation",62.99,58.53,67.45,0.08,52.5,81.53
"Coastal Livelihoods & Economies",71.48,98.22,44.75,-0.31,,
". Livelihoods",,,,0.38,22.8,46.03
". Economies",71.48,98.22,44.75,-1,24.89,62.96
"Sense of Place",100,100,100,0,,
". Iconic Species",,,,,28.15,76.24
". Lasting Special Places",100,100,100,0,35.6,78.13
"Clean Waters",68.42,66.34,70.5,0.02,66.79,81.53
"Biodiversity",90.7,85.23,96.17,-0.04,,
". Habitats",87.32,80.63,94,0,23.64,74.35
". Species",94.08,89.83,98.34,-0.07,29.57,72.62
