" ","score","status","future","trend","pressures","resilience"
"Index",70.06,,72.94,,,
"Food Provision",8.39,7.63,9.16,0,,
". Fisheries",24.2,22,26.4,0,21.63,82.28
". Mariculture",0.04,0.04,0.05,0,26.39,79.68
"Artisanal Fishing Opportunity",78.44,70.34,86.54,0.01,16.81,83.76
"Natural Products",94.5,89,100,0,14.44,85.33
"Carbon Storage",100,100,100,0.5,17.68,88.71
"Coastal Protection",36.04,32.18,39.91,0.06,27.26,88.71
"Tourism & Recreation",56,52.04,59.97,0.01,44.47,89.47
"Coastal Livelihoods & Economies",99.91,99.81,100,0.56,,
". Livelihoods",99.81,99.63,100,0.11,15.75,54.34
". Economies",100,100,100,1,18.44,78.83
"Sense of Place",68.59,70,67.19,-0.25,,
". Iconic Species",37.19,40,34.37,-0.5,24.45,83.35
". Lasting Special Places",100,100,100,0,31.16,88.34
"Clean Waters",67.19,64.28,70.09,-0.01,60.53,89.47
"Biodiversity",91.57,86.64,96.5,0.04,,
". Habitats",94.6,89.2,100,0.2,16.84,81.85
". Species",88.54,84.08,93,-0.12,25.71,82.22
