" ","score","status","future","trend","pressures","resilience"
"Index",,,,,,
"Food Provision",,,,,,
". Fisheries",,,,,,88.2
". Mariculture",,,,,,81.59
"Artisanal Fishing Opportunity",,,,,,89.05
"Natural Products",,,,,,90.22
"Carbon Storage",,,,,,92.15
"Coastal Protection",,,,,,92.15
"Tourism & Recreation",,,,,,93.67
"Coastal Livelihoods & Economies",,,,,,
". Livelihoods",,,,,,67.05
". Economies",,,,,,83.24
"Sense of Place",,100,,0,,
". Iconic Species",,,,,,89.44
". Lasting Special Places",,100,,0,,91.4
"Clean Waters",,,,,,93.67
"Biodiversity",,,,,,
". Habitats",,,,,,89.41
". Species",,,,,,87.5
