" ","score","status","future","trend","pressures","resilience"
"Index",76.18,,78.56,,,
"Food Provision",5.37,4.96,5.79,0,,70
". Fisheries",5.42,5,5.84,0,19.25,70
". Mariculture",0.23,0.21,0.25,0,19.34,70
"Artisanal Fishing Opportunity",87.35,80.05,94.65,0,14.44,70
"Natural Products",96,91.99,100,-0.01,12.78,70
"Carbon Storage",100,100,100,,18.31,70
"Coastal Protection",38.83,36,41.67,0.02,26.24,70
"Tourism & Recreation",74.71,70.87,78.55,0.01,39.18,70
"Coastal Livelihoods & Economies",100,100,100,0.45,,70
". Livelihoods",,,,-0.11,15.35,70
". Economies",100,100,100,1,14.24,70
"Sense of Place",88.3,86.67,89.93,-0.06,,70
". Iconic Species",76.6,73.33,79.87,-0.12,17.63,70
". Lasting Special Places",100,100,100,0,23.27,70
"Clean Waters",79.11,78.52,79.71,-0.06,54.18,70
"Biodiversity",92.16,89,95.32,-0.04,,70
". Habitats",96.98,93.96,100,0.03,15.34,70
". Species",87.34,84.03,90.65,-0.11,22.94,70
