" ","score","status","future","trend","pressures","resilience"
"Index",69.94,,72.53,,,
"Food Provision",4.63,4.21,5.05,0,,
". Fisheries",13.2,12,14.41,0,21.51,82.28
". Mariculture",0.1,0.09,0.11,0,26.39,79.68
"Artisanal Fishing Opportunity",78.46,70.34,86.58,0.01,16.65,83.76
"Natural Products",97,94,100,0,14.39,85.33
"Carbon Storage",100,100,100,0.5,17.19,88.71
"Coastal Protection",36.04,32.18,39.91,0.06,27.25,88.71
"Tourism & Recreation",56,52.04,59.97,0.01,44.47,89.47
"Coastal Livelihoods & Economies",99.91,99.81,100,0.56,,
". Livelihoods",99.81,99.63,100,0.11,15.74,54.34
". Economies",100,100,100,1,18.43,78.83
"Sense of Place",68.61,70,67.21,-0.25,,
". Iconic Species",37.21,40,34.43,-0.5,24.06,83.35
". Lasting Special Places",100,100,100,0,30.67,88.34
"Clean Waters",67.19,64.28,70.09,-0.01,60.53,89.47
"Biodiversity",91.59,86.64,96.53,0.04,,
". Habitats",94.6,89.2,100,0.2,16.75,81.85
". Species",88.58,84.08,93.07,-0.12,25.47,82.22
