" ","score","status","future","trend","pressures","resilience"
"Index",74.22,,75.14,,,
"Food Provision",78.79,73,84.58,-0.02,,
". Fisheries",78.79,73,84.58,-0.02,24.42,76.56
". Mariculture",100,100,100,0,33.5,67.13
"Artisanal Fishing Opportunity",82.48,74.88,90.07,0.04,23.87,78.04
"Natural Products",62.74,52.58,72.9,0.28,20.08,80.06
"Carbon Storage",,,,,29.09,81.33
"Coastal Protection",74.63,72.45,76.81,-0.04,40.23,65.68
"Tourism & Recreation",38.1,36.89,39.32,-0.05,51.78,82.84
"Coastal Livelihoods & Economies",72.46,100,44.93,-1,,
". Livelihoods",,,,,24.22,60.19
". Economies",72.46,100,44.93,-1,28.2,64.34
"Sense of Place",100,100,100,0,,
". Iconic Species",,,,,31.64,77.75
". Lasting Special Places",100,100,100,0,39.52,80.57
"Clean Waters",66.3,62.58,70.02,0.1,67.16,82.84
"Biodiversity",92.47,87.3,97.63,-0.07,,
". Habitats",91.91,85.42,98.4,-0.04,22.95,76.31
". Species",93.03,89.19,96.87,-0.1,28.58,75.57
