" ","score","status","future","trend","pressures","resilience"
"Index",67.61,,71.6,,,
"Food Provision",4.39,3.93,4.85,0,,
". Fisheries",4.47,4,4.94,0,14.74,86.32
". Mariculture",0.02,0.02,0.02,0,14.35,84.6
"Artisanal Fishing Opportunity",73.73,65.42,82.03,0,11.35,87.39
"Natural Products",44.6,38.44,50.76,0.09,10.21,89.84
"Carbon Storage",69.64,61.48,77.81,0,11.26,91.73
"Coastal Protection",28.39,25.24,31.53,0.03,22.1,91.73
"Tourism & Recreation",100,100,100,0.13,31.83,93.25
"Coastal Livelihoods & Economies",99.91,99.81,100,0.78,,
". Livelihoods",99.81,99.63,100,0.56,13.83,60.47
". Economies",100,100,100,1,13.58,82.39
"Sense of Place",86.25,85,87.49,-0.12,,
". Iconic Species",72.49,70,74.98,-0.25,15.5,87.82
". Lasting Special Places",100,100,100,0,20.64,90.97
"Clean Waters",74.77,68.01,81.52,0.06,45.37,93.25
"Biodiversity",94.44,88.88,100,0.01,,
". Habitats",93.75,87.5,100,0.05,11.37,86.6
". Species",95.13,90.26,100,-0.03,17.08,85.01
