" ","score","status","future","trend","pressures","resilience"
"Index",73.39,,77.27,,,
"Food Provision",45.63,42,49.26,0,,
". Fisheries",45.63,42,49.26,0,24.23,76.63
". Mariculture",72.74,63.99,81.5,0.24,34.31,68.5
"Artisanal Fishing Opportunity",76.13,69.7,82.56,0.01,23.63,77.57
"Natural Products",89.5,79,100,0.43,19.72,79.74
"Carbon Storage",69.1,63.55,74.66,0,27.37,80.37
"Coastal Protection",68.98,63.55,74.41,0,28.57,80.37
"Tourism & Recreation",44.2,42.62,45.77,-0.05,51.33,83.4
"Coastal Livelihoods & Economies",100,100,100,1,,
". Livelihoods",,,,,29.66,53.05
". Economies",100,100,100,1,29.3,65.26
"Sense of Place",100,100,100,0,,
". Iconic Species",,,,,30.81,78.04
". Lasting Special Places",100,100,100,0,38.02,78.85
"Clean Waters",58.3,57.29,59.31,-0.03,66.6,83.4
"Biodiversity",82.05,77.33,86.77,-0.05,,
". Habitats",70.33,64.79,75.86,0,25.55,76.61
". Species",93.77,89.87,97.67,-0.1,28.44,75.39
