" ","score","status","future","trend","pressures","resilience"
"Index",67.79,,71.79,,,
"Food Provision",6.58,5.89,7.28,0,,
". Fisheries",6.71,6,7.41,0,14.89,86.32
". Mariculture",0.01,0.01,0.01,0,14.35,84.6
"Artisanal Fishing Opportunity",73.64,65.42,81.86,0,11.55,87.39
"Natural Products",44.41,38.27,50.56,0.09,10.27,89.84
"Carbon Storage",69.59,61.48,77.69,0,11.83,91.73
"Coastal Protection",28.39,25.24,31.53,0.03,22.1,91.73
"Tourism & Recreation",100,100,100,0.13,31.83,93.25
"Coastal Livelihoods & Economies",99.91,99.81,100,0.78,,
". Livelihoods",99.81,99.63,100,0.56,13.85,60.47
". Economies",100,100,100,1,13.59,82.39
"Sense of Place",86.22,85,87.44,-0.12,,
". Iconic Species",72.44,70,74.87,-0.25,15.97,87.82
". Lasting Special Places",100,100,100,0,21.23,90.97
"Clean Waters",74.77,68.01,81.52,0.06,45.37,93.25
"Biodiversity",94.44,88.88,100,0.01,,
". Habitats",93.75,87.5,100,0.05,11.56,86.6
". Species",95.13,90.26,100,-0.03,17.37,85.01
