" ","score","status","future","trend","pressures","resilience"
"Index",69.72,,70.87,,,
"Food Provision",62.02,58,66.03,-0.01,,70
". Fisheries",62.02,58,66.03,-0.01,26,70
". Mariculture",100,100,100,0,28.79,70
"Artisanal Fishing Opportunity",76.92,69.83,84.02,0.08,25.09,70
"Natural Products",77.38,62.69,92.07,0.47,23.56,70
"Carbon Storage",53.78,50,57.57,0,24.15,70
"Coastal Protection",26.28,25.01,27.54,0.02,42.43,70
"Tourism & Recreation",61.88,58.53,65.22,0.08,52.5,70
"Coastal Livelihoods & Economies",72.63,98.22,47.04,-0.31,,70
". Livelihoods",,,,0.38,22.78,70
". Economies",72.63,98.22,47.04,-1,24.85,70
"Sense of Place",100,100,100,0,,70
". Iconic Species",,,,,27.15,70
". Lasting Special Places",100,100,100,0,34.34,70
"Clean Waters",76.06,78.27,73.85,-0.1,66.79,70
"Biodiversity",90.28,85.23,95.32,-0.04,,70
". Habitats",86.77,80.63,92.91,0,23.41,70
". Species",93.79,89.83,97.74,-0.07,28.96,70
