" ","score","status","future","trend","pressures","resilience"
"Index",64.56,,65.55,,,
"Food Provision",0,0,0,0,,
". Fisheries",0,0,0,0,36.57,57.04
". Mariculture",0.01,0.01,0.01,0,33.74,49.64
"Artisanal Fishing Opportunity",61.62,59.15,64.08,0.01,35.51,58.08
"Natural Products",4.61,4.4,4.82,0.01,33.55,60.64
"Carbon Storage",100,100,100,,36.76,59.98
"Coastal Protection",94.3,91.51,97.09,0,41.05,59.98
"Tourism & Recreation",25.23,24.87,25.6,-0.01,56.03,67.66
"Coastal Livelihoods & Economies",100,100,100,0.78,,
". Livelihoods",,,,0.56,37.09,45.43
". Economies",100,100,100,1,36.94,48.02
"Sense of Place",86.17,85,87.34,0,,
". Iconic Species",72.34,70,74.68,0,39.08,59.32
". Lasting Special Places",100,100,100,0,44.28,60.84
"Clean Waters",80.79,78.38,83.2,0.1,68.93,67.66
"Biodiversity",92.88,92.33,93.42,-0.02,,
". Habitats",99.9,99.81,100,0,35.22,56.97
". Species",85.85,84.86,86.83,-0.04,40.05,55.18
