" ","score","status","future","trend","pressures","resilience"
"Index",77.16,,78.64,,,
"Food Provision",62.48,58,66.97,-0.01,,
". Fisheries",62.48,58,66.97,-0.01,26,74.87
". Mariculture",100,100,100,0,28.79,67.91
"Artisanal Fishing Opportunity",73.45,65.87,81.03,0.09,25.09,76
"Natural Products",78.35,62.69,94.02,0.47,22.18,78.02
"Carbon Storage",54.55,50,59.09,0,24.15,79.26
"Coastal Protection",99.99,99.97,100,0.06,42.43,79.26
"Tourism & Recreation",62.99,58.53,67.45,0.08,52.5,81.53
"Coastal Livelihoods & Economies",71.49,98.22,44.76,-0.31,,
". Livelihoods",,,,0.38,22.78,46.03
". Economies",71.49,98.22,44.76,-1,24.85,62.96
"Sense of Place",100,100,100,0,,
". Iconic Species",,,,,27.15,76.24
". Lasting Special Places",100,100,100,0,34.34,78.13
"Clean Waters",77.55,78.27,76.83,-0.1,66.79,81.53
"Biodiversity",90.76,85.23,96.29,-0.04,,
". Habitats",87.35,80.63,94.06,0,23.41,74.35
". Species",94.17,89.83,98.52,-0.07,28.96,72.62
