" ","score","status","future","trend","pressures","resilience"
"Index",70.28,,72.6,,,
"Food Provision",8.97,8.31,9.64,0,,70
". Fisheries",25.92,24,27.83,0,21.59,70
". Mariculture",0.02,0.02,0.02,0,26.39,70
"Artisanal Fishing Opportunity",76.85,70.34,83.36,0.01,16.75,70
"Natural Products",92.46,84.92,100,0,14.83,70
"Carbon Storage",100,100,100,0.5,17.51,70
"Coastal Protection",35.05,32.18,37.92,0.06,27.26,70
"Tourism & Recreation",54.33,52.04,56.62,0.01,44.47,70
"Coastal Livelihoods & Economies",99.91,99.81,100,0.56,,70
". Livelihoods",99.81,99.63,100,0.11,15.75,70
". Economies",100,100,100,1,18.44,70
"Sense of Place",68.16,70,66.31,-0.25,,70
". Iconic Species",36.31,40,32.63,-0.5,24.32,70
". Lasting Special Places",100,100,100,0,30.99,70
"Clean Waters",76.33,75.31,77.36,-0.01,60.53,70
"Biodiversity",90.73,86.64,94.82,0.04,,70
". Habitats",94.6,89.2,100,0.2,16.81,70
". Species",86.86,84.08,89.63,-0.12,25.63,70
