" ","score","status","future","trend","pressures","resilience"
"Index",69.73,,73.03,,,
"Food Provision",2.2,1.98,2.41,0,,
". Fisheries",2.21,2,2.43,0,19.28,84.01
". Mariculture",0.08,0.07,0.08,0,19.34,81.2
"Artisanal Fishing Opportunity",89.42,80.05,98.8,0,14.49,84.88
"Natural Products",36.23,33.02,39.44,-0.08,12.02,87.26
"Carbon Storage",100,100,100,,18.44,88.12
"Coastal Protection",39.91,36,43.82,0.02,26.24,88.12
"Tourism & Recreation",77.36,70.87,83.85,0.01,39.18,92.67
"Coastal Livelihoods & Economies",100,100,100,0.45,,
". Livelihoods",,,,-0.11,15.36,53.55
". Economies",100,100,100,1,14.24,79.67
"Sense of Place",89.23,86.67,91.8,-0.06,,
". Iconic Species",78.47,73.33,83.61,-0.12,17.74,85.57
". Lasting Special Places",100,100,100,0,23.42,85.85
"Clean Waters",69.75,66.74,72.77,-0.05,54.18,92.67
"Biodiversity",93.23,89,97.45,-0.04,,
". Habitats",96.98,93.96,100,0.03,15.36,84.73
". Species",89.47,84.03,94.91,-0.11,23.01,85.43
