" ","score","status","future","trend","pressures","resilience"
"Index",75.98,,77.58,,,
"Food Provision",78.79,73,84.58,-0.02,,
". Fisheries",78.79,73,84.58,-0.02,24.42,76.56
". Mariculture",100,100,100,0.22,33.5,67.13
"Artisanal Fishing Opportunity",73.72,65.87,81.56,0.09,23.87,78.04
"Natural Products",73.45,60.44,86.46,0.35,20.09,80.28
"Carbon Storage",,,,,29.09,81.33
"Coastal Protection",74.63,72.45,76.81,-0.04,40.23,65.68
"Tourism & Recreation",38.1,36.89,39.32,-0.05,51.78,82.84
"Coastal Livelihoods & Economies",72.46,100,44.93,-1,,
". Livelihoods",,,,,24.22,60.19
". Economies",72.46,100,44.93,-1,28.2,64.34
"Sense of Place",100,100,100,0,,
". Iconic Species",,,,,31.64,77.75
". Lasting Special Places",100,100,100,0,39.52,80.57
"Clean Waters",80.21,73.51,86.9,0.19,67.16,82.84
"Biodiversity",92.47,87.3,97.63,-0.07,,
". Habitats",91.91,85.42,98.4,-0.04,22.95,76.31
". Species",93.03,89.19,96.87,-0.1,28.58,75.57
