" ","score","status","future","trend","pressures","resilience"
"Index",,,,,,
"Food Provision",,6,,0,,
". Fisheries",,6,,0,21.19,
". Mariculture",,0,,0,21.93,
"Artisanal Fishing Opportunity",,70.2,,0.01,19.15,
"Natural Products",,51.94,,-0.67,17.62,
"Carbon Storage",,100,,0.5,19.37,
"Coastal Protection",,25.1,,0.02,38.38,
"Tourism & Recreation",,80.73,,0.07,45.52,
"Coastal Livelihoods & Economies",,99.81,,-0.55,,
". Livelihoods",,99.63,,-0.11,22.14,
". Economies",,100,,-1,22.21,
"Sense of Place",,100,,0,,
". Iconic Species",,,,,21.13,
". Lasting Special Places",,100,,0,28.3,
"Clean Waters",,77.58,,0.35,57.05,
"Biodiversity",,94.93,,0.06,,
". Habitats",,100,,0.18,18.62,
". Species",,89.86,,-0.05,24.25,
