" ","score","status","future","trend","pressures","resilience"
"Index",69.91,,72.42,,,
"Food Provision",0,0,0,0,,
". Fisheries",0,0,0,0,23.9,76.63
". Mariculture",100,100,100,0,34.31,68.5
"Artisanal Fishing Opportunity",76.18,69.7,82.67,0.01,23.2,77.57
"Natural Products",100,100,100,0.43,19.58,79.74
"Carbon Storage",69.23,63.55,74.92,0,26.12,80.37
"Coastal Protection",69.1,63.55,74.65,0,27.43,80.37
"Tourism & Recreation",44.2,42.62,45.77,-0.05,51.33,83.4
"Coastal Livelihoods & Economies",100,100,100,1,,
". Livelihoods",,,,,29.62,53.05
". Economies",100,100,100,1,29.27,65.26
"Sense of Place",100,100,100,0,,
". Iconic Species",,,,,29.77,78.04
". Lasting Special Places",100,100,100,0,36.72,78.85
"Clean Waters",58.3,57.29,59.31,-0.03,66.6,83.4
"Biodiversity",82.12,77.33,86.91,-0.05,,
". Habitats",70.37,64.79,75.95,0,25.12,76.61
". Species",93.87,89.87,97.86,-0.1,27.81,75.39
