" ","score","status","future","trend","pressures","resilience"
"Index",78.24,,78.66,,,
"Food Provision",44.48,40.96,48,-0.01,,70
". Fisheries",51.04,47,55.08,-0.01,15.9,70
". Mariculture",0.02,0.02,0.02,0,15.47,70
"Artisanal Fishing Opportunity",75.25,68.63,81.86,-0.01,10.49,70
"Natural Products",65.85,56.89,74.81,0.18,10.13,70
"Carbon Storage",,,,,13.08,70
"Coastal Protection",100,100,100,0.08,32.13,70
"Tourism & Recreation",60.09,57.69,62.49,-0.04,35.82,70
"Coastal Livelihoods & Economies",75.71,100,51.42,-0.55,,70
". Livelihoods",,,,-0.11,14.06,70
". Economies",75.71,100,51.42,-1,14.17,70
"Sense of Place",100,100,100,0,,70
". Iconic Species",,,,,13.8,70
". Lasting Special Places",100,100,100,0,21.39,70
"Clean Waters",84.53,79.67,89.4,0.06,45.42,70
"Biodiversity",98.26,96.52,100,0.01,,70
". Habitats",100,100,100,0.01,11.35,70
". Species",96.52,93.03,100,0.02,18.25,70
