" ","score","status","future","trend","pressures","resilience"
"Index",76.92,,77.07,,,
"Food Provision",6.85,6.12,7.58,0,,
". Fisheries",7.84,7,8.67,0,15.78,88.2
". Mariculture",0.17,0.15,0.18,0,15.47,81.59
"Artisanal Fishing Opportunity",77.6,68.63,86.56,0,10.34,89.05
"Natural Products",97.18,94.36,100,0.15,9.16,90.92
"Carbon Storage",,,,,12.59,92.15
"Coastal Protection",100,100,100,0.08,32.13,87.34
"Tourism & Recreation",62.34,57.69,66.99,-0.04,35.82,93.67
"Coastal Livelihoods & Economies",77.9,100,55.8,-0.55,,
". Livelihoods",,,,-0.11,14.05,67.05
". Economies",77.9,100,55.8,-1,14.15,83.24
"Sense of Place",100,100,100,0,,
". Iconic Species",,,,,13.42,89.44
". Lasting Special Places",100,100,100,0,20.92,91.4
"Clean Waters",72.13,67.58,76.68,-0.04,45.42,93.67
"Biodiversity",98.26,96.52,100,0.01,,
". Habitats",100,100,100,0.01,11.35,88.85
". Species",96.52,93.03,100,0.02,18.02,87.5
