" ","score","status","future","trend","pressures","resilience"
"Index",77.46,,76.93,,,
"Food Provision",6.65,6.11,7.2,0,,70
". Fisheries",7.63,7,8.25,0,15.78,70
". Mariculture",0.07,0.06,0.07,0,15.47,70
"Artisanal Fishing Opportunity",75.26,68.63,81.89,-0.01,10.34,70
"Natural Products",96.62,93.25,100,0.31,10.12,70
"Carbon Storage",,,,,12.59,70
"Coastal Protection",100,100,100,0.08,32.13,70
"Tourism & Recreation",60.09,57.69,62.49,-0.04,35.82,70
"Coastal Livelihoods & Economies",75.72,100,51.43,-0.55,,70
". Livelihoods",,,,-0.11,14.05,70
". Economies",75.72,100,51.43,-1,14.15,70
"Sense of Place",100,100,100,0,,70
". Iconic Species",,,,,13.42,70
". Lasting Special Places",100,100,100,0,20.92,70
"Clean Waters",84.53,79.67,89.4,0.06,45.42,70
"Biodiversity",98.26,96.52,100,0.01,,70
". Habitats",100,100,100,0.01,11.35,70
". Species",96.52,93.03,100,0.02,18.02,70
