" ","score","status","future","trend","pressures","resilience"
"Index",58.99,,59.84,,,
"Food Provision",1.03,1,1.07,0,,
". Fisheries",1.03,1,1.07,0,36.55,57.04
". Mariculture",0,0,0,0,33.74,49.64
"Artisanal Fishing Opportunity",72.77,69.94,75.6,0.01,35.5,58.08
"Natural Products",20.91,19.37,22.44,0.1,33.78,61.43
"Carbon Storage",100,100,100,,36.72,59.98
"Coastal Protection",23.71,23.01,24.42,0,41.05,59.98
"Tourism & Recreation",25.23,24.87,25.6,-0.01,56.03,67.66
"Coastal Livelihoods & Economies",100,100,100,0.78,,
". Livelihoods",,,,0.56,37.09,45.43
". Economies",100,100,100,1,36.94,48.02
"Sense of Place",86.17,85,87.34,0,,
". Iconic Species",72.34,70,74.69,0,39.03,59.32
". Lasting Special Places",100,100,100,0,44.22,60.84
"Clean Waters",67.21,65.93,68.49,0.06,68.93,67.66
"Biodiversity",92.88,92.33,93.42,-0.02,,
". Habitats",99.9,99.81,100,0,35.22,56.97
". Species",85.85,84.86,86.84,-0.04,40.03,55.18
