" ","score","status","future","trend","pressures","resilience"
"Index",69.56,,72.84,,,
"Food Provision",0,0,0,0,,
". Fisheries",0,0,0,0,19.27,84.01
". Mariculture",0.13,0.12,0.14,0,19.34,81.2
"Artisanal Fishing Opportunity",89.43,80.05,98.8,0,14.47,84.88
"Natural Products",36.67,33.42,39.92,-0.08,12.01,87.26
"Carbon Storage",100,100,100,,18.38,88.12
"Coastal Protection",39.91,36,43.82,0.02,26.24,88.12
"Tourism & Recreation",77.36,70.87,83.85,0.01,39.18,92.67
"Coastal Livelihoods & Economies",100,100,100,0.45,,
". Livelihoods",,,,-0.11,15.36,53.55
". Economies",100,100,100,1,14.24,79.67
"Sense of Place",89.24,86.67,91.81,-0.06,,
". Iconic Species",78.48,73.33,83.62,-0.12,17.69,85.57
". Lasting Special Places",100,100,100,0,23.35,85.85
"Clean Waters",69.75,66.74,72.77,-0.05,54.18,92.67
"Biodiversity",93.23,89,97.46,-0.04,,
". Habitats",96.98,93.96,100,0.03,15.35,84.73
". Species",89.48,84.03,94.92,-0.11,22.97,85.43
