" ","score","status","future","trend","pressures","resilience"
"Index",78.04,,78.55,,,
"Food Provision",6.84,6.11,7.57,0,,
". Fisheries",7.84,7,8.67,0,15.78,88.2
". Mariculture",0.07,0.06,0.07,0,15.47,81.59
"Artisanal Fishing Opportunity",72.76,64.52,81.01,-0.01,10.34,89.05
"Natural Products",96.62,93.25,100,0.31,10.14,90.22
"Carbon Storage",,,,,12.59,92.15
"Coastal Protection",100,100,100,0.08,32.13,87.34
"Tourism & Recreation",62.34,57.69,66.99,-0.04,35.82,93.67
"Coastal Livelihoods & Economies",77.9,100,55.8,-0.55,,
". Livelihoods",,,,-0.11,14.05,67.05
". Economies",77.9,100,55.8,-1,14.15,83.24
"Sense of Place",100,100,100,0,,
". Iconic Species",,,,,13.42,89.44
". Lasting Special Places",100,100,100,0,20.92,91.4
"Clean Waters",87.64,79.67,95.62,0.06,45.42,93.67
"Biodiversity",98.26,96.52,100,0.01,,
". Habitats",100,100,100,0.01,11.35,88.85
". Species",96.52,93.03,100,0.02,18.02,87.5
