" ","score","status","future","trend","pressures","resilience"
"Index",75.95,,78.1,,,
"Food Provision",1.07,0.99,1.16,0,,70
". Fisheries",1.08,1,1.17,0,19.28,70
". Mariculture",0.03,0.03,0.04,0,19.34,70
"Artisanal Fishing Opportunity",87.35,80.05,94.64,0,14.48,70
"Natural Products",97.93,95.86,100,-0.01,12.78,70
"Carbon Storage",100,100,100,,18.41,70
"Coastal Protection",38.83,36,41.67,0.02,26.24,70
"Tourism & Recreation",74.71,70.87,78.55,0.01,39.18,70
"Coastal Livelihoods & Economies",100,100,100,0.45,,70
". Livelihoods",,,,-0.11,15.36,70
". Economies",100,100,100,1,14.24,70
"Sense of Place",88.29,86.67,89.92,-0.06,,70
". Iconic Species",76.59,73.33,79.84,-0.12,17.72,70
". Lasting Special Places",100,100,100,0,23.38,70
"Clean Waters",79.11,78.52,79.71,-0.06,54.18,70
"Biodiversity",92.16,89,95.32,-0.04,,70
". Habitats",96.98,93.96,100,0.03,15.36,70
". Species",87.33,84.03,90.64,-0.11,22.99,70
