" ","score","status","future","trend","pressures","resilience"
"Index",76,,78.21,,,
"Food Provision",2.15,1.98,2.31,0,,70
". Fisheries",2.17,2,2.33,0,19.31,70
". Mariculture",0.02,0.02,0.02,0,19.34,70
"Artisanal Fishing Opportunity",87.34,80.05,94.63,0,14.52,70
"Natural Products",97.45,94.89,100,-0.01,12.78,70
"Carbon Storage",100,100,100,,18.52,70
"Coastal Protection",38.83,36,41.67,0.02,26.24,70
"Tourism & Recreation",74.71,70.87,78.55,0.01,39.18,70
"Coastal Livelihoods & Economies",100,100,100,0.45,,70
". Livelihoods",,,,-0.11,15.36,70
". Economies",100,100,100,1,14.24,70
"Sense of Place",88.29,86.67,89.91,-0.06,,70
". Iconic Species",76.58,73.33,79.82,-0.12,17.81,70
". Lasting Special Places",100,100,100,0,23.5,70
"Clean Waters",79.11,78.52,79.71,-0.06,54.18,70
"Biodiversity",92.15,89,95.31,-0.04,,70
". Habitats",96.98,93.96,100,0.03,15.38,70
". Species",87.33,84.03,90.62,-0.11,23.05,70
