" ","score","status","future","trend","pressures","resilience"
"Index",76.39,,80.23,,,
"Food Provision",8.78,7.85,9.71,0,,
". Fisheries",8.95,8,9.89,0,14.66,86.32
". Mariculture",0.04,0.04,0.05,0,15.36,84.6
"Artisanal Fishing Opportunity",75.01,66.49,83.52,0.01,11.24,87.39
"Natural Products",45.4,38.85,51.95,0.12,11.04,88.74
"Carbon Storage",69.53,61.48,77.57,0,12.42,91.73
"Coastal Protection",99.79,99.57,100,0.12,30.14,91.73
"Tourism & Recreation",100,100,100,0.13,37.22,93.25
"Coastal Livelihoods & Economies",99.91,99.81,100,0.78,,
". Livelihoods",99.81,99.63,100,0.56,14.51,60.47
". Economies",100,100,100,1,14.53,82.39
"Sense of Place",86.29,85,87.58,-0.12,,
". Iconic Species",72.58,70,75.16,-0.25,14.73,87.82
". Lasting Special Places",100,100,100,0,22.15,90.97
"Clean Waters",84.74,77.54,91.95,0.06,48.96,93.25
"Biodiversity",94.44,88.88,100,0.01,,
". Habitats",93.75,87.5,100,0.05,11.86,86.6
". Species",95.13,90.26,100,-0.03,17.71,85.01
