" ","score","status","future","trend","pressures","resilience"
"Index",70,,73.32,,,
"Food Provision",5.49,4.96,6.02,0,,
". Fisheries",5.53,5,6.07,0,19.25,84.01
". Mariculture",0.61,0.55,0.66,0,19.34,81.2
"Artisanal Fishing Opportunity",89.4,80.05,98.74,0,14.44,84.88
"Natural Products",35.57,32.42,38.72,-0.08,12,87.26
"Carbon Storage",100,100,100,,18.31,88.12
"Coastal Protection",39.91,36,43.82,0.02,26.24,88.12
"Tourism & Recreation",77.36,70.87,83.85,0.01,39.18,92.67
"Coastal Livelihoods & Economies",100,100,100,0.45,,
". Livelihoods",,,,-0.11,15.35,53.55
". Economies",100,100,100,1,14.24,79.67
"Sense of Place",89.24,86.67,91.82,-0.06,,
". Iconic Species",78.48,73.33,83.63,-0.12,17.63,85.57
". Lasting Special Places",100,100,100,0,23.27,85.85
"Clean Waters",69.75,66.74,72.77,-0.05,54.18,92.67
"Biodiversity",93.23,89,97.46,-0.04,,
". Habitats",96.98,93.96,100,0.03,15.34,84.73
". Species",89.48,84.03,94.93,-0.11,22.94,85.43
