" ","score","status","future","trend","pressures","resilience"
"Index",68.05,,71.1,,,
"Food Provision",8.57,7.85,9.29,0,,70
". Fisheries",8.73,8,9.46,0,14.66,70
". Mariculture",0.04,0.04,0.05,0,15.36,70
"Artisanal Fishing Opportunity",71.93,65.42,78.43,0.01,11.24,70
"Natural Products",44.2,38.85,49.55,0.12,11.04,70
"Carbon Storage",67.32,61.48,73.16,0,12.42,70
"Coastal Protection",27.15,25.24,29.05,0.03,30.14,70
"Tourism & Recreation",100,100,100,0.13,37.22,70
"Coastal Livelihoods & Economies",99.91,99.81,100,0.78,,70
". Livelihoods",99.81,99.63,100,0.56,14.51,70
". Economies",100,100,100,1,14.53,70
"Sense of Place",85.26,85,85.52,-0.12,,70
". Iconic Species",70.52,70,71.04,-0.25,14.73,70
". Lasting Special Places",100,100,100,0,22.15,70
"Clean Waters",81.77,77.54,86,0.06,48.96,70
"Biodiversity",94.44,88.88,100,0.01,,70
". Habitats",93.75,87.5,100,0.05,11.86,70
". Species",95.13,90.26,100,-0.03,17.71,70
