" ","score","status","future","trend","pressures","resilience"
"Index",70.84,,73.3,,,
"Food Provision",0,0,0,0,,70
". Fisheries",0,0,0,0,23.9,70
". Mariculture",100,100,100,0,34.31,70
"Artisanal Fishing Opportunity",75.26,69.7,80.81,0.01,23.2,70
"Natural Products",100,100,100,0.11,20.34,70
"Carbon Storage",68.15,63.55,72.75,0,26.12,70
"Coastal Protection",68.01,63.55,72.47,0,27.43,70
"Tourism & Recreation",43.26,42.62,43.89,-0.05,51.33,70
"Coastal Livelihoods & Economies",100,100,100,1,,70
". Livelihoods",,,,,29.62,70
". Economies",100,100,100,1,29.27,70
"Sense of Place",100,100,100,0,,70
". Iconic Species",,,,,29.77,70
". Lasting Special Places",100,100,100,0,36.72,70
"Clean Waters",72.36,67.05,77.68,0.22,66.6,70
"Biodiversity",81.37,77.33,85.4,-0.05,,70
". Habitats",69.66,64.79,74.54,0,25.12,70
". Species",93.07,89.87,96.26,-0.1,27.81,70
