" ","score","status","future","trend","pressures","resilience"
"Index",68.32,,71.15,,,
"Food Provision",0,0,0,0,,
". Fisheries",0,0,0,0,23.9,76.63
". Mariculture",100,100,100,0,34.31,68.5
"Artisanal Fishing Opportunity",64.31,58.83,69.79,0.01,23.2,77.57
"Natural Products",100,100,100,0.11,20.29,79.36
"Carbon Storage",69.23,63.55,74.92,0,26.12,80.37
"Coastal Protection",49.46,45.48,53.43,0,27.43,80.37
"Tourism & Recreation",44.2,42.62,45.77,-0.05,51.33,83.4
"Coastal Livelihoods & Economies",100,100,100,1,,
". Livelihoods",,,,,29.62,53.05
". Economies",100,100,100,1,29.27,65.26
"Sense of Place",100,100,100,0,,
". Iconic Species",,,,,29.77,78.04
". Lasting Special Places",100,100,100,0,36.72,78.85
"Clean Waters",73.85,67.05,80.64,0.22,66.6,83.4
"Biodiversity",82.12,77.33,86.91,-0.05,,
". Habitats",70.37,64.79,75.95,0,25.12,76.61
". Species",93.87,89.87,97.86,-0.1,27.81,75.39
