" ","score","status","future","trend","pressures","resilience"
"Index",67.32,,71.29,,,
"Food Provision",1.1,0.98,1.22,0,,
". Fisheries",1.12,1,1.24,0,14.66,86.32
". Mariculture",0.12,0.11,0.14,0,14.35,84.6
"Artisanal Fishing Opportunity",73.8,65.42,82.19,0.01,11.24,87.39
"Natural Products",44.86,38.68,51.05,0.08,10.18,89.84
"Carbon Storage",69.68,61.48,77.87,0,10.93,91.73
"Coastal Protection",28.39,25.24,31.53,0.03,22.1,91.73
"Tourism & Recreation",100,100,100,0.13,31.83,93.25
"Coastal Livelihoods & Economies",99.91,99.81,100,0.78,,
". Livelihoods",99.81,99.63,100,0.56,13.82,60.47
". Economies",100,100,100,1,13.57,82.39
"Sense of Place",86.26,85,87.52,-0.12,,
". Iconic Species",72.52,70,75.04,-0.25,15.23,87.82
". Lasting Special Places",100,100,100,0,20.3,90.97
"Clean Waters",74.77,68.01,81.52,0.06,45.37,93.25
"Biodiversity",94.44,88.88,100,0.01,,
". Habitats",93.75,87.5,100,0.05,11.25,86.6
". Species",95.13,90.26,100,-0.03,16.92,85.01
