" ","score","status","future","trend","pressures","resilience"
"Index",80.32,,81.4,,,
"Food Provision",30.53,28,33.06,-0.01,,
". Fisheries",30.53,28,33.06,-0.01,21.19,78.01
". Mariculture",0,0,0,0,21.93,70.6
"Artisanal Fishing Opportunity",65.68,59.51,71.86,0.02,19.15,78.97
"Natural Products",45.79,51.79,39.8,-0.67,16.95,82.43
"Carbon Storage",100,100,100,0.5,19.37,81.48
"Coastal Protection",99.98,99.97,100,0.08,38.38,81.48
"Tourism & Recreation",87.94,80.73,95.15,0.07,45.52,85.27
"Coastal Livelihoods & Economies",86.97,99.81,74.13,-0.55,,
". Livelihoods",99.81,99.63,100,-0.11,22.14,55.75
". Economies",74.13,100,48.27,-1,22.21,68.48
"Sense of Place",100,100,100,0,,
". Iconic Species",,,,,21.13,79.58
". Lasting Special Places",100,100,100,0,28.31,79.58
"Clean Waters",88.79,77.58,100,0.35,57.05,85.27
"Biodiversity",97.47,94.93,100,0.06,,
". Habitats",100,100,100,0.18,18.62,77.25
". Species",94.93,89.86,100,-0.05,24.25,75.13
